NAME,LONGDD,LATDD
CHELELEMUK,34.35,0.68
CHELELEMUK,34.35,0.07
CHEMALAL,35.2,-0.52
CHEMANER,35.48,-0.8
CHEMANER,35.47,-0.8
CHEMASINGIESTATE,35.27,-0.48
CHAMASIRI,34.38,0.73
CHEMELET,35.22,-0.57
CHEMELIL,35.12,-0.1
CHEMELILSUBLOCATION,35.07,-0.07
CHEMELILSISALESTATE,35.08,-0.08
CHEMGOMBET,35.18,-0.85
CHEMKAKO,36.28,0.82
CHEMNGATATDAM,35.15,-0.82
CHEMNGOLOS,36.03,0.02
CHEMOGO,35.2,-0.52
CHEMOGUT,35.9,0.48
CHEMOIGUT,36.2,0.68
CHEMOIGUTSUBLOCATION,36.22,0.65
CHEMOSIT,35.22,-0.48
CHEMOSITESTATE,35.2,-0.52
CHEMOSOS,35.08,-0.73
CHEMUSE,34.47,0.08
CHEMASUK,35.75,1.3
CHEMUTUMSALTLICK,35.02,-0.2
CHENGO,39.7,-3.85
CHEPALUNGUFOREST,35.02,-0.88
CHEPALUNGULOCATION,35.2,-0.93
CHEPANDASUBLOCATION,35.92,1.03
CHEPCHIPIK,35.03,-0.88
CHEPITET,35.57,-0.32
CHEPKARATSUBLOCATION,35.92,1.08
CHEPKATAME,36.15,0.88
CHEPKEIGEIDAM,35.1,-0.82
CHEPKESIN,35.88,0.88
CHEPKIRIAL,35.88,1.32
CHEPKOGHEN,35.87,1.53
CHEPKOISI,35.23,-0.55
CHEPKOLOISUBLOCATION,35.7,0.68
CHEPKOLO,35.37,-0.78
CHEPKONGHO,36.1,0.9
CHEPKOSITONIK,35.37,-0.73
CHEPKUBE,34.43,0.08
CHEPLELWA,35.08,-0.87
CHEPLELWASUBLOCATION,35.07,-0.08
CHEPLAMBUS,35.75,0.28
CHEPNGAINA,35.35,-0.75
CHEPSABU,35.8,0.32
CHEPSEMBEIDAM,35.1,-0.9
CHEPSWERTA,35.07,-0.07
CHEPTABESESTATE,35.27,-0.48
CHEPTAGUM,35.03,-0.87
CHEPTALELYEISUBLOCATION,35.28,-0.93
CHEPTANGULGE,35.42,-0.87
CHEPTEBEIDAM,35.13,-0.8
CHEPTABES,35.22,-0.48
CHEPTIK,34.82,0.02
CHEPTUIYET,35.35,-0.97
CHEPTUKOL,35.78,1.48
CHEPTUNYORANGE,35.77,0.42
CHEPTWECH,35.63,-0.6
CHEPWOSTUYET,35.02,-0.08
CHERA,37.68,-0.37
CHERAPLAIN,38.8,2.82
CHEREREMET,35.77,0.37
CHERIAL,35.8,0.68
CHERIROITA,35.23,-0.73
CHESILYOT,35.2,-0.07
CHESIRIM,36.25,0.05
CHESMARAPA,39.4,-0.03
CHESOEN,35.28,-0.7
CHAUSUPOINT,34.08,-0.15
CHEVANI,40.02,-1.42
CHEWARAIN,35.95,1.03
CHEWELE,39.97,-1.02
CHIAKAMUNU,36.62,-1.13
